,Season,Week_No,Team,Name,Nationality,Age,Minutes,Venue,Opponent,Result,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,avg_distance_def_actions_gk
83,2022-2023,5,Stuttgart,Florian Müller,GER,24,90.0,Home,Schalke 04,Draw,2.0,1.0,1.0,50.0,1.1,4.0,8.0,50.0,27.0,5.0,25.9,30.9,9.0,11.1,21.8,8.0,0.0,0.0,2.0,25.5
84,2022-2023,5,Schalke 04,Alexander Schwolow,GER,30,90.0,Away,Stuttgart,Draw,3.0,1.0,2.0,66.7,0.8,8.0,19.0,42.1,28.0,3.0,42.9,39.2,9.0,77.8,53.2,4.0,0.0,0.0,0.0,12.8
85,2022-2023,5,Eintracht Frankfurt,Kevin Trapp,GER,32,90.0,Home,RB Leipzig,Win,0.0,0.0,0.0,,0.0,5.0,12.0,41.7,20.0,4.0,55.0,44.0,6.0,16.7,27.8,8.0,2.0,25.0,2.0,17.4
86,2022-2023,5,RB Leipzig,Péter Gulácsi,HUN,32,90.0,Away,Eintracht Frankfurt,Defeat,8.0,4.0,5.0,62.5,3.7,1.0,4.0,25.0,26.0,6.0,15.4,25.3,5.0,0.0,12.6,4.0,0.0,0.0,1.0,16.3
87,2022-2023,5,Augsburg,Rafał Gikiewicz,POL,34,90.0,Home,Hertha BSC,Defeat,6.0,2.0,4.0,66.7,1.7,12.0,18.0,66.7,31.0,7.0,48.4,38.8,13.0,23.1,29.6,9.0,0.0,0.0,0.0,9.4
88,2022-2023,5,Hertha BSC,Oliver Christensen,DEN,23,90.0,Away,Augsburg,Win,1.0,0.0,1.0,100.0,0.1,9.0,14.0,64.3,30.0,5.0,36.7,36.3,6.0,50.0,42.8,9.0,0.0,0.0,1.0,14.4
89,2022-2023,5,Mönchengladbach,Yann Sommer,SUI,33,90.0,Home,Mainz 05,Defeat,4.0,1.0,3.0,75.0,1.2,4.0,19.0,21.1,46.0,5.0,37.0,34.4,11.0,18.2,29.0,15.0,0.0,0.0,4.0,20.6
90,2022-2023,5,Mainz 05,Robin Zentner,GER,27,90.0,Away,Mönchengladbach,Win,3.0,0.0,3.0,100.0,0.3,4.0,15.0,26.7,20.0,7.0,50.0,42.9,7.0,71.4,65.0,6.0,0.0,0.0,3.0,19.0
91,2022-2023,6,Werder Bremen,Jiří Pavlenka,CZE,30,28.0,Home,Augsburg,Defeat,0.0,0.0,0.0,,0.0,6.0,9.0,66.7,10.0,2.0,60.0,41.0,5.0,60.0,38.8,0.0,0.0,,0.0,8.3
92,2022-2023,6,Werder Bremen,Michael Zetterer,GER,27,62.0,Home,Augsburg,Defeat,6.0,1.0,5.0,83.3,0.9,7.0,18.0,38.9,28.0,7.0,57.1,46.1,3.0,66.7,50.3,3.0,0.0,0.0,1.0,14.0
