,Season,Week_No,Team,Name,Nationality,Age,Minutes,Venue,Opponent,Result,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,avg_distance_def_actions_gk
600,2019-2020,34,Köln,Timo Horn,GER,27,90.0,Away,Werder Bremen,Defeat,9,6,3,33.3,4.1,9,17,52.9,29,3,48.3,39.3,4,75.0,40.0,6,0,0.0,0,19.0
601,2019-2020,34,Eintracht Frankfurt,Kevin Trapp,GER,29,90.0,Home,Paderborn 07,Win,5,2,3,60.0,1.4,8,17,47.1,57,7,29.8,34.2,7,0.0,20.0,5,1,20.0,2,16.9
602,2019-2020,34,Paderborn 07,Leopold Zingerle,GER,26,90.0,Away,Eintracht Frankfurt,Defeat,4,3,1,25.0,1.7,6,18,33.3,34,6,32.4,31.1,11,63.6,41.8,15,1,6.7,0,13.8
603,2019-2020,34,Dortmund,Roman Bürki,SUI,29,90.0,Home,Hoffenheim,Defeat,6,4,3,50.0,3.4,4,6,66.7,22,4,27.3,30.0,8,0.0,20.8,8,0,0.0,1,16.0
604,2019-2020,34,Hoffenheim,Oliver Baumann,GER,30,90.0,Away,Dortmund,Win,4,0,4,100.0,0.4,2,5,40.0,29,11,13.8,23.7,4,25.0,35.8,9,0,0.0,1,12.2
605,2019-2020,34,Augsburg,Tomáš Koubek,CZE,27,90.0,Home,RB Leipzig,Defeat,5,2,3,60.0,1.7,7,22,31.8,34,7,50.0,43.4,9,55.6,53.3,3,1,33.3,2,17.6
606,2019-2020,34,RB Leipzig,Yvon Mvogo,SUI,26,90.0,Away,Augsburg,Win,1,1,0,0.0,0.2,3,5,60.0,30,4,13.3,26.4,4,25.0,21.8,4,0,0.0,0,14.4
607,2019-2020,34,Wolfsburg,Koen Casteels,BEL,28,90.0,Home,Bayern Munich,Defeat,9,4,6,66.7,4.5,14,26,53.8,30,6,56.7,43.8,11,81.8,58.2,8,0,0.0,1,12.3
608,2019-2020,34,Bayern Munich,Manuel Neuer,GER,34,90.0,Away,Wolfsburg,Win,4,0,4,100.0,0.4,9,11,81.8,30,10,33.3,30.4,8,12.5,22.8,5,0,0.0,1,16.6
609,2019-2020,34,Mönchengladbach,Yann Sommer,SUI,31,90.0,Home,Hertha BSC,Win,2,1,1,50.0,1.6,2,8,25.0,28,5,28.6,33.7,1,0.0,31.0,6,0,0.0,1,15.3
610,2019-2020,34,Hertha BSC,Dennis Smarsch,GER,21,90.0,Away,Mönchengladbach,Defeat,8,2,6,75.0,2.8,4,11,36.4,29,7,24.1,31.3,8,50.0,45.9,6,1,16.7,0,14.3
611,2019-2020,34,Bayer Leverkusen,Lukáš Hrádecký,FIN,30,90.0,Home,Mainz 05,Win,1,0,1,100.0,0.0,8,16,50.0,51,3,25.5,30.5,5,60.0,42.2,4,0,0.0,1,14.3
612,2019-2020,34,Mainz 05,Florian Müller,GER,22,90.0,Away,Bayer Leverkusen,Defeat,2,1,1,50.0,0.5,4,17,23.5,37,9,27.0,29.9,11,63.6,47.3,8,1,12.5,1,12.9
613,2019-2020,34,Union Berlin,Rafał Gikiewicz,POL,32,90.0,Home,Düsseldorf,Win,2,0,2,100.0,0.1,13,39,33.3,36,1,72.2,49.8,13,100.0,69.5,21,2,9.5,0,15.3
614,2019-2020,34,Düsseldorf,Florian Kastenmeier,GER,22,90.0,Away,Union Berlin,Defeat,6,3,3,50.0,1.9,5,12,41.7,33,8,30.3,31.7,7,28.6,32.4,4,1,25.0,4,24.9
615,2019-2020,34,Freiburg,Mark Flekken,NED,27,90.0,Home,Schalke 04,Win,6,0,6,100.0,0.6,9,16,56.3,35,3,34.3,36.2,16,25.0,32.7,12,0,0.0,0,17.0
616,2019-2020,34,Schalke 04,Alexander Nübel,GER,23,90.0,Away,Freiburg,Defeat,8,4,4,50.0,2.9,3,6,50.0,21,5,19.0,29.0,5,40.0,40.0,6,0,0.0,0,11.8
